編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRQMLLJLHMFFDA67DA,15,14.86,停車空間,鋼筋混凝土造,90年10月9日,008,地下一層 地下二層
RPRQMLLJLHMFFDA67DA,15,.03,共有部分,鋼筋混凝土造,90年10月9日,008,
RPUOMLOLKHMFFDA18DA,33,25.10,共有部分,鋼筋混凝土造,72年9月1日,012,
RPUOMLOLKHMFFDA18DA,33,84.11,見其他登記事項,鋼筋混凝土造,72年9月1日,012,四層
RPOOMLOLKHMFFDA57DA,28,38.16,住家用,鋼筋混凝土造,77年11月23日,012,六層
RPOOMLOLKHMFFDA57DA,28,11.80,共有部分,鋼筋混凝土造,77年11月23日,012,
RPOOMLOLKHMFFDA57DA,28,1.05,共有部分,鋼筋混凝土造,77年11月23日,012,
RPPOMLOLKHMFFDA67DA,38,75.83,住家用,鋼筋混凝土造,67年9月30日,004,二層
RPQNMLRJLHMFFCA77DA,32,116.24,住家用,鋼筋混凝土造,73年12月14日,012,八層
RPQNMLRJLHMFFCA77DA,32,21.54,共有部分,鋼筋混凝土造,73年12月14日,012,
RPQNMLRJLHMFFCA77DA,32,49.57,見使用執照,鋼筋混凝土造,73年12月14日,012,地下層
RPQNMLRJLHMFFCA77DA,32,1.31,共有部分,鋼筋混凝土造,73年12月14日,012,
