timestamp,gym,gym_cap,pool,pool_cap,pool_temp
2017-04-19T21:21:02.552274+08:00,77,120,59,300,29
2017-04-19T21:22:01.884699+08:00,78,120,59,300,29
2017-04-19T21:23:02.103184+08:00,79,120,60,300,29
2017-04-19T21:24:02.554028+08:00,78,120,58,300,29
2017-04-19T21:25:01.946434+08:00,77,120,59,300,29
2017-04-19T21:26:02.424704+08:00,77,120,58,300,29
2017-04-19T21:27:02.904877+08:00,77,120,58,300,29
2017-04-19T21:28:02.367083+08:00,76,120,56,300,29
2017-04-19T21:29:02.825640+08:00,74,120,55,300,29
2017-04-19T21:30:02.377641+08:00,70,120,55,300,29
2017-04-19T21:31:02.842271+08:00,67,120,55,300,29
2017-04-19T21:32:02.235586+08:00,67,120,54,300,29
2017-04-19T21:33:02.631225+08:00,66,120,49,300,29
2017-04-19T21:34:01.967922+08:00,65,120,49,300,29
2017-04-19T21:35:02.461880+08:00,62,120,49,300,29
2017-04-19T21:36:02.188606+08:00,61,120,46,300,29
2017-04-19T21:37:02.704764+08:00,60,120,45,300,29
2017-04-19T21:38:01.965806+08:00,59,120,44,300,29
2017-04-19T21:39:02.535734+08:00,58,120,43,300,29
2017-04-19T21:40:02.056031+08:00,57,120,42,300,29
2017-04-19T21:41:02.421217+08:00,56,120,42,300,29
2017-04-19T21:42:01.931372+08:00,54,120,40,300,29
2017-04-19T21:43:02.458533+08:00,53,120,39,300,29
2017-04-19T21:44:01.987960+08:00,52,120,37,300,29
2017-04-19T21:45:02.574335+08:00,50,120,36,300,29
2017-04-19T21:46:02.006059+08:00,48,120,36,300,29
2017-04-19T21:47:02.717943+08:00,44,120,34,300,29
2017-04-19T21:48:01.959664+08:00,43,120,33,300,29
2017-04-19T21:49:02.359282+08:00,43,120,31,300,29
2017-04-19T21:50:02.052641+08:00,42,120,28,300,29
2017-04-19T21:51:02.819256+08:00,40,120,26,300,29
2017-04-19T21:52:02.293591+08:00,37,120,23,300,29
2017-04-19T21:53:02.964834+08:00,35,120,21,300,29
2017-04-19T21:54:02.472030+08:00,32,120,21,300,29
2017-04-19T21:55:02.064697+08:00,32,120,20,300,29
2017-04-19T21:56:02.611653+08:00,29,120,18,300,29
2017-04-19T21:57:02.027445+08:00,27,120,18,300,29
2017-04-19T21:58:02.681887+08:00,23,120,16,300,29
2017-04-19T21:59:02.241618+08:00,16,120,14,300,29
2017-04-19T22:00:02.761673+08:00,10,120,11,300,29
2017-04-19T22:01:02.341046+08:00,2,120,10,300,29
2017-04-19T22:02:02.923680+08:00,1,120,6,300,29
2017-04-19T22:03:02.382837+08:00,1,120,6,300,29
2017-04-19T22:04:02.890394+08:00,1,120,3,300,29
2017-04-19T22:05:02.458398+08:00,1,120,3,300,29
2017-04-19T22:06:01.978428+08:00,1,120,1,300,29
2017-04-19T22:07:02.453029+08:00,1,120,0,300,29
2017-04-19T22:08:02.251502+08:00,1,120,0,300,29
2017-04-19T22:09:02.951981+08:00,1,120,0,300,29
2017-04-19T22:10:02.642766+08:00,1,120,0,300,29
2017-04-19T22:11:02.260133+08:00,1,120,0,300,29
2017-04-19T22:12:02.083671+08:00,1,120,0,300,29
2017-04-19T22:13:02.636230+08:00,1,120,0,300,29
2017-04-19T22:14:02.179321+08:00,1,120,0,300,29
2017-04-19T22:15:02.983584+08:00,1,120,0,300,29
2017-04-19T22:16:02.761082+08:00,1,120,0,300,29
2017-04-19T22:17:02.171906+08:00,1,120,0,300,29
2017-04-19T22:18:02.746832+08:00,1,120,0,300,29
2017-04-19T22:19:02.158827+08:00,4,120,0,300,29
2017-04-19T22:20:02.733246+08:00,0,120,0,300,29
2017-04-19T22:21:02.223646+08:00,0,120,0,300,29
2017-04-19T22:22:02.870306+08:00,0,120,0,300,29
2017-04-19T22:23:02.006690+08:00,0,120,0,300,29
2017-04-19T22:24:02.453655+08:00,0,120,0,300,29
2017-04-19T22:25:02.868558+08:00,0,120,0,300,29
2017-04-19T22:26:02.217205+08:00,0,120,0,300,29
2017-04-19T22:27:02.826065+08:00,0,120,0,300,29
2017-04-19T22:28:02.565262+08:00,0,120,0,300,29
2017-04-19T22:29:02.172654+08:00,0,120,0,300,29
2017-04-19T22:30:02.780260+08:00,0,120,0,300,29
2017-04-19T22:31:02.308556+08:00,0,120,0,300,29
2017-04-19T22:32:02.932105+08:00,0,120,0,300,29
2017-04-19T22:33:03.065806+08:00,0,120,0,300,29
2017-04-19T22:34:02.439514+08:00,0,120,0,300,29
2017-04-19T22:35:02.886487+08:00,0,120,0,300,29
2017-04-19T22:36:02.645735+08:00,0,120,0,300,29
2017-04-19T22:37:02.489148+08:00,0,120,0,300,29
2017-04-19T22:38:02.778294+08:00,0,120,0,300,29
2017-04-19T22:39:02.156645+08:00,0,120,0,300,29
2017-04-19T22:40:02.861151+08:00,0,120,0,300,29
2017-04-19T22:41:02.527199+08:00,0,120,0,300,29
2017-04-19T22:42:02.888669+08:00,0,120,0,300,29
2017-04-19T22:43:02.222327+08:00,0,120,0,300,29
2017-04-19T22:44:02.656201+08:00,0,120,0,300,29
2017-04-19T22:45:02.235857+08:00,0,120,0,300,29
2017-04-19T22:46:02.832195+08:00,0,120,0,300,29
2017-04-19T22:47:02.368791+08:00,0,120,0,300,29
2017-04-19T22:48:02.698358+08:00,0,120,0,300,29
2017-04-19T22:49:02.162532+08:00,0,120,0,300,29
2017-04-19T22:50:01.923763+08:00,0,120,0,300,29
2017-04-19T22:51:02.839155+08:00,0,120,0,300,29
2017-04-19T22:52:02.361581+08:00,0,120,0,300,29
2017-04-19T22:53:03.130164+08:00,0,120,0,300,29
2017-04-19T22:54:02.888008+08:00,0,120,0,300,29
2017-04-19T22:55:02.744865+08:00,0,120,0,300,29
2017-04-19T22:56:02.312372+08:00,0,120,0,300,29
2017-04-19T22:57:02.102977+08:00,0,120,0,300,29
2017-04-19T22:58:02.798365+08:00,0,120,0,300,29
2017-04-19T22:59:02.270886+08:00,0,120,0,300,29
2017-04-19T23:00:02.906174+08:00,0,120,0,300,29
2017-04-19T23:01:02.434515+08:00,0,120,0,300,29
2017-04-19T23:02:02.541622+08:00,0,120,0,300,29
2017-04-19T23:03:02.228005+08:00,0,120,0,300,29
2017-04-19T23:04:02.267282+08:00,0,120,0,300,29
2017-04-19T23:05:02.630671+08:00,0,120,0,300,29
2017-04-19T23:06:01.973028+08:00,0,120,0,300,29
2017-04-19T23:07:02.382946+08:00,0,120,0,300,29
2017-04-19T23:08:02.823658+08:00,0,120,0,300,29
2017-04-19T23:09:02.823780+08:00,0,120,0,300,29
2017-04-19T23:10:02.288005+08:00,0,120,0,300,29
2017-04-19T23:11:02.885295+08:00,0,120,0,300,29
